pickup,dropoff,pickup_time_from,pickup_time_to,dropoff_time_from,dropoff_time_to,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng,distance,travel_time,map_link
100 Liverpool St,gate 4 - MOL,08:30:00,11:00:00,12:30:00,20:30:00,51.5181999,-0.083709061,51.5171675,-0.1043089,1.4299925120303922,1.7159910144364707,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5171675,-0.1043089"
101 Liverpool St,57 Farringdon Road,08:30:00,11:00:00,10:00:00,20:30:00,51.5181999,-0.083709061,51.5205936,-0.1061162,1.5730542924625905,1.8876651509551086,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5205936,-0.1061162"
102 Liverpool St,63 Clerkenwell Road,08:30:00,11:00:00,10:00:00,20:30:00,51.5181999,-0.083709061,51.5220558,-0.1057491,1.5840765284911078,1.9008918341893293,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5220558,-0.1057491"
103 Liverpool St,Markmonitor,08:30:00,11:00:00,08:30:00,20:30:00,51.5181999,-0.083709061,51.5199524,-0.1085864,1.7322956873446984,2.0787548248136383,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5199524,-0.1085864"
104 Liverpool St,Linked In - FAO Thessa Ramaye,08:30:00,11:00:00,10:00:00,20:30:00,51.5181999,-0.083709061,51.5232236,-0.108454,1.8009040290428757,2.161084834851451,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5232236,-0.108454"
105 Liverpool St,140 Goswell Road,08:30:00,11:00:00,10:00:00,20:30:00,51.5181999,-0.083709061,51.5249305,-0.0992686,1.3111177744918867,1.573341329390264,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5249305,-0.0992686"
106 Liverpool St,CBRE Facilities Office,08:30:00,11:00:00,10:00:00,20:30:00,51.5181999,-0.083709061,51.5250318,-0.091296,0.9233883081665153,1.1080659697998183,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5250318,-0.091296"
107 Liverpool St,C - Screens,08:30:00,11:00:00,10:00:00,20:30:00,51.5181999,-0.083709061,51.524282,-0.0961398,1.0941133108046304,1.3129359729655563,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.524282,-0.0961398"
108 Liverpool St,DACC Europe/StructureTone,08:30:00,11:00:00,12:30:00,20:30:00,51.5181999,-0.083709061,51.5161213,-0.0787609,0.4130962240935836,0.4957154689123003,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5161213,-0.0787609"
109 Liverpool St,RaporMarketing,08:30:00,11:00:00,12:30:00,20:30:00,51.5181999,-0.083709061,51.523712,-0.0835602,0.6130040855543691,0.7356049026652429,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.523712,-0.0835602"
